frame.number|frame.time|frame.time_relative|frame.len|ip.version|ip.proto|ip.src|ip.dst|ip.flags|ip.frag_offset|ip.ttl|ip.len|ip.fragment.error|tcp.stream|tcp.time_relative|tcp.time_delta|tcp.srcport|tcp.dstport|tcp.len|tcp.hdr_len|tcp.pdu.size|tcp.window_size|tcp.flags|tcp.flags.fin|tcp.flags.ack|tcp.flags.syn|tcp.analysis.retransmission|tcp.analysis.rto|tcp.analysis.ack_rtt|tcp.analysis.initial_rtt|tcp.analysis.bytes_in_flight|tcp.analysis.duplicate_ack|tcp.analysis.fast_retransmission|tcp.analysis.flags|tcp.analysis.keep_alive|tcp.analysis.keep_alive_ack|tcp.analysis.lost_segment|tcp.analysis.out_of_order|tcp.analysis.reused_ports|tcp.analysis.rto_frame|tcp.analysis.spurious_retransmission|tcp.analysis.tfo_syn|tcp.analysis.window_full|tcp.analysis.window_update|tcp.analysis.zero_window|tcp.analysis.zero_window_probe|tcp.analysis.zero_window_probe_ack|tcp.options.wscale.multiplier|tcp.segment.error|tls.record.content_type|tls.handshake.type|tls.alert_message|tls.handshake.cert_type.type|tls.handshake.extensions_server_name|tls.handshake.extensions_alpn_str|tls.resumed|tls.handshake.ciphersuite|tls.segment.error|tls.alert_message|tls.alert_message.desc|tls.alert_message.level|x509ce.dNSName|http.response.code|http.location|http.request.full_uri|http.request.method|http.request.uri|http.time|http.content_length|http.referer|_ws.expert.severity|udp.stream|udp.dstport|udp.srcport|udp.length.bad|udp.length.bad_zero|udp.possible_traceroute|udp.checksum.bad|dns.flags|dns.flags.rcode|dns.flags.response|dns.time|dns.count.queries|dns.qry.name|dns.resp.ttl
2|Dec 22, 2019 16:03:47.003354000 GMT|0.000044000|88|6|||||||||0|0.000000000|0.000000000|443|46612|0|32||271|0x00000011|1|1|0|||||||||||||||||||||||||||||||||||||||||||||2097152||||||||||||||
4|Dec 22, 2019 16:03:47.003618000 GMT|0.000308000|88|6|||||||||0|0.000264000|0.000264000|443|46612|0|32||271|0x00000011|1|1|0||||||||1||||1|||||||||||||||||||||||||||||||||2097152,6291456||||||||||||||
5|Dec 22, 2019 16:03:47.003847000 GMT|0.000537000|100|6|||||||||0|0.000493000|0.000229000|46612|443|0|44||171|0x00000010|0|1|0|||0.000493000||||||||||||||||||||||||||||||||||||||||||||||||||||||||
7|Dec 22, 2019 16:03:47.435598000 GMT|0.432288000|96|6|||||||||1|0.000000000|0.000000000|39391|443|0|40||65535|0x00000002|0|0|1||||||||||||||||||||||512|||||||||||||||||||||||2097152||||||||||||||
10|Dec 22, 2019 16:03:47.571929000 GMT|0.568619000|96|6|||||||||1|0.136331000|0.136331000|443|39391|0|40||28960|0x00000012|0|1|1|||0.136331000|||||||||||||||||||128|||||||||||||||||||||||2097152||||||||||||||
11|Dec 22, 2019 16:03:47.572225000 GMT|0.568915000|88|6|||||||||1|0.136627000|0.000296000|39391|443|0|32||81408|0x00000010|0|1|0|||0.000296000|0.136627000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
13|Dec 22, 2019 16:03:47.574528000 GMT|0.571218000|266|6|||||||||1|0.138930000|0.002303000|39391|443|178|32||81408|0x00000018|0|1|0||||0.136627000|178|||||||||||||||||||22|1|||gnu0.azenqos.com|http/1.1||49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53||||||||||||||||||||||||||||
16|Dec 22, 2019 16:03:47.700082000 GMT|0.696772000|88|6|||||||||1|0.264484000|0.125554000|443|39391|0|32||30080|0x00000010|0|1|0|||0.125554000|0.136627000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
18|Dec 22, 2019 16:03:47.703483000 GMT|0.700173000|1426|6|||||||||1|0.267885000|0.003401000|443|39391|1338|32||30080|0x00000010|0|1|0||||0.136627000||||1|||1||||||||||||||||||||||||||||||||||6291456||||||||||||||
19|Dec 22, 2019 16:03:47.703753000 GMT|0.700443000|100|6|||||||||1|0.268155000|0.000270000|39391|443|0|44||83968|0x00000010|0|1|0||||0.136627000||||1||||||||||1|||||||||||||||||||||||||||2097152||||||||||||||
22|Dec 22, 2019 16:03:47.703877000 GMT|0.700567000|383|6|||||||||1|0.268279000|0.000124000|443|39391|295|32||30080|0x00000018|0|1|0||||0.136627000|1633||||||||||||||||||||||||||||||||||||||||||||||||||||||
23|Dec 22, 2019 16:03:47.704000000 GMT|0.700690000|100|6|||||||||1|0.268402000|0.000123000|39391|443|0|44||86528|0x00000010|0|1|0||||0.136627000||||1||||||||||1|||||||||||||||||||||||||||2097152||||||||||||||
26|Dec 22, 2019 16:03:47.704123000 GMT|0.700813000|1426|6|||||||||1|0.268525000|0.000123000|443|39391|1338|32||30080|0x00000010|0|1|0||||0.136627000|2971|||1||||1|||||||||||||||||||||||||||||||||6291456||||||||||||||
27|Dec 22, 2019 16:03:47.704283000 GMT|0.700973000|88|6|||||||||1|0.268685000|0.000160000|39391|443|0|32||89088|0x00000010|0|1|0|||0.000406000|0.136627000|||||||||||||||||||||||||||||||||||||||||||||||||||||||
29|Dec 22, 2019 16:03:47.711662000 GMT|0.708352000|181|6|||||||||1|0.276064000|0.007379000|39391|443|93|32||89088|0x00000018|0|1|0||||0.136627000|93|||||||||||||||||||22,20,22|16||||||||||||||||||||||||||||||||||
32|Dec 22, 2019 16:03:47.833688000 GMT|0.830378000|362|6|||||||||1|0.398090000|0.122026000|443|39391|274|32||30080|0x00000018|0|1|0|||0.122026000|0.136627000|274|||||||||||||||||||22,20,22|4||||||||||||||||||||||||||||||||||
33|Dec 22, 2019 16:03:47.833989000 GMT|0.830679000|579|6|||||||||1|0.398391000|0.000301000|39391|443|491|32||92160|0x00000018|0|1|0|||0.000301000|0.136627000|491|||||||||||||||||||23|||||||||||||||||||||||||||||||||||
